100 Rounds, Wins,
1, 0.600000,
2, 0.660000,
3, 0.640000,
4, 0.680000,
5, 0.700000,
6, 0.540000,
7, 0.520000,
8, 0.640000,
9, 0.520000,
10, 0.740000,
11, 0.580000,
12, 0.740000,
13, 0.520000,
14, 0.660000,
15, 0.640000,
16, 0.740000,
17, 0.640000,
18, 0.620000,
19, 0.620000,
20, 0.700000,
21, 0.620000,
22, 0.680000,
23, 0.680000,
24, 0.720000,
25, 0.580000,
26, 0.720000,
27, 0.700000,
28, 0.640000,
29, 0.600000,
30, 0.660000,
31, 0.660000,
32, 0.720000,
33, 0.620000,
34, 0.740000,
35, 0.700000,
36, 0.840000,
37, 0.760000,
38, 0.560000,
39, 0.640000,
