per Round, AccumReward,
1, -0.405540,
2, -0.600000,
3, -0.600000,
4, -0.840000,
5, -0.280000,
6, -0.180000,
7, -1.020000,
8, 0.140000,
9, -0.780000,
10, -0.400000,
11, -0.780000,
12, -1.140000,
13, 0.380000,
14, -0.520000,
15, -0.700000,
16, -0.400000,
17, -0.720000,
18, -1.020000,
19, -0.220000,
20, -0.462128,
21, -0.180000,
22, -0.100000,
23, 0.488000,
24, 0.260000,
25, -0.968519,
26, -0.700000,
27, -0.100000,
28, 0.860000,
29, -0.280000,
30, -0.328000,
31, 0.440000,
32, -0.709061,
33, 0.020000,
34, 0.200000,
35, 0.256481,
36, -0.340000,
37, -0.840000,
38, -0.220000,
39, -0.600000,
