100 Rounds, Wins,
1, 0.520000,
2, 0.480000,
3, 0.720000,
4, 0.740000,
5, 0.740000,
6, 0.640000,
7, 0.620000,
8, 0.820000,
9, 0.740000,
10, 0.640000,
11, 0.560000,
12, 0.720000,
13, 0.620000,
14, 0.800000,
15, 0.740000,
16, 0.760000,
17, 0.640000,
18, 0.660000,
19, 0.600000,
20, 0.700000,
21, 0.740000,
22, 0.840000,
23, 0.720000,
24, 0.680000,
25, 0.720000,
26, 0.800000,
27, 0.840000,
28, 0.620000,
29, 0.760000,
30, 0.680000,
31, 0.780000,
32, 0.620000,
33, 0.760000,
34, 0.660000,
35, 0.640000,
36, 0.860000,
37, 0.780000,
38, 0.800000,
39, 0.840000,
