per Round, AccumReward,
310, 72.535807,
311, 132.286547,
312, -120.590843,
313, 97.904239,
314, 100.771232,
315, -67.280131,
316, 147.714634,
317, -75.888112,
318, -112.909584,
319, -192.638180,
320, -107.381577,
321, 62.273723,
322, -178.410044,
323, 55.712972,
324, 83.477018,
325, -150.466922,
326, 42.859007,
327, -128.785574,
328, 22.761288,
329, 143.790176,
330, 149.156107,
331, -35.745706,
332, 86.836627,
333, -64.436807,
334, -188.159809,
335, 17.352752,
336, 99.643033,
337, 59.419840,
338, -44.976540,
339, -206.930068,
340, -93.237826,
341, -144.486082,
342, 62.412815,
343, -243.453133,
344, -77.888371,
345, 135.025320,
346, 168.000000,
347, 104.394753,
348, 79.800000,
349, 140.295891,
350, 95.811967,
351, 131.662406,
352, 111.451518,
353, 71.781842,
354, 73.545593,
355, -30.661622,
356, -136.923536,
357, -57.827108,
358, -59.988676,
359, 39.340575,
360, -178.518892,
361, 134.000000,
362, 117.779171,
363, -145.169788,
364, -135.690285,
365, -119.469355,
366, 47.792871,
367, 74.616442,
368, -60.436152,
369, -181.081897,
370, -94.120831,
371, -49.551551,
372, -16.000000,
373, 83.486756,
374, -50.970511,
375, -138.601908,
376, -145.606465,
377, 16.358821,
378, 31.027257,
379, -106.580497,
380, 87.258374,
381, 57.276440,
382, -245.984072,
383, 80.212765,
384, -125.325072,
385, 103.916972,
386, 97.800000,
387, -89.885920,
388, -9.325868,
389, 56.668930,
390, 55.961034,
391, -61.599237,
392, 39.255896,
393, 117.340953,
394, -107.912290,
395, 110.400000,
396, 6.550357,
397, -98.570583,
398, 79.447752,
399, 119.826175,
400, 100.182114,
401, 62.601819,
402, 114.644402,
403, -83.913582,
404, -75.754533,
405, 36.428535,
406, -216.127530,
407, 87.995880,
408, -87.572815,
409, 105.478793,
410, -162.183196,
411, -62.294519,
412, 48.480128,
413, -69.199018,
414, -53.209509,
415, 132.600000,
416, -99.606375,
417, -4.239814,
418, -82.831146,
419, -114.866055,
420, -91.790387,
421, -50.311111,
422, 81.550529,
423, 90.129794,
424, 14.377449,
425, 138.600000,
426, 84.399306,
427, 53.788194,
428, 96.648389,
429, 101.417953,
430, -120.856513,
431, -34.860000,
432, 16.469590,
433, -23.389265,
434, -54.745900,
435, 94.848249,
436, 58.444833,
437, -47.507622,
438, -56.533140,
439, 139.816423,
440, -97.237714,
441, -67.600000,
442, -67.076434,
443, 130.325100,
444, 91.187802,
445, 23.773494,
446, -49.902331,
447, 56.246732,
448, -21.782861,
449, 103.717372,
450, 116.279727,
451, -32.949844,
452, -107.197242,
453, -17.186244,
454, 27.205318,
455, -66.606293,
456, 94.474605,
457, 125.091039,
458, -54.848347,
459, 37.262781,
460, 74.755943,
461, -80.811204,
462, -73.755080,
463, 98.139732,
464, -132.032200,
465, -352.654441,
466, -98.051071,
467, 59.413805,
468, 78.357795,
469, 132.197766,
470, 81.124844,
471, 53.794932,
472, 57.837132,
473, 30.255502,
474, 86.659739,
475, 82.080509,
476, -3.017413,
477, -92.379473,
478, -103.189046,
479, -20.226844,
480, 23.843438,
481, -167.872795,
482, -56.254075,
483, 50.308206,
484, 43.781442,
485, 125.839163,
486, 95.133104,
487, -353.672660,
488, 22.197229,
489, 23.400000,
490, -139.484924,
491, -84.019897,
492, -82.457326,
493, -36.405345,
494, 61.977999,
495, -95.400000,
496, -52.547168,
497, 82.153769,
498, -75.600000,
499, 71.074800,
500, 83.275493,
501, -117.600000,
502, -81.244484,
503, 26.145723,
504, 74.299731,
505, -93.514093,
506, -95.351544,
507, -56.293051,
508, 146.200000,
509, -74.465413,
510, 110.388150,
511, 86.514791,
512, -28.200000,
513, 74.980152,
514, 43.186377,
515, -62.893414,
516, 60.955203,
517, 124.676469,
518, -46.600000,
519, -79.314727,
520, -33.770716,
521, 89.640174,
522, -30.417191,
523, 51.722268,
524, 95.124686,
525, -114.389145,
526, -59.471916,
527, 37.600000,
528, 27.018471,
529, 36.495780,
530, -97.846345,
531, -119.086011,
532, -78.053946,
533, -76.851156,
534, 28.319557,
535, -113.172090,
536, -61.264857,
537, 141.400000,
538, -158.636874,
539, -46.180621,
540, -244.290681,
541, -5.575656,
542, 0.047710,
543, 52.243174,
544, 130.573703,
545, 79.454111,
546, -104.836741,
547, 95.305891,
548, 113.141937,
549, 104.578035,
550, 73.006991,
551, -26.092242,
552, 44.919640,
553, 121.141221,
554, 98.177342,
555, -16.697410,
556, -29.922178,
557, -18.033052,
558, 85.943228,
559, 166.200000,
560, 71.158738,
561, 55.367123,
562, -131.904414,
563, 93.800000,
564, 162.000000,
565, 92.658535,
566, -80.942181,
567, -106.852060,
568, -55.522360,
569, -6.161425,
570, -109.720467,
571, 101.677075,
572, -176.181468,
573, -64.356908,
574, -29.000000,
575, 72.839061,
576, -240.616382,
577, 98.034417,
578, 75.826739,
579, -22.000000,
580, 93.021575,
581, 111.032516,
582, -113.229602,
583, 54.400000,
584, 132.256982,
585, 91.185005,
586, -126.253589,
587, -39.506491,
588, 32.454825,
589, -34.000000,
590, 71.188831,
591, -57.028454,
592, 110.717890,
593, -89.991975,
594, 56.637501,
595, 37.109653,
596, 112.800000,
597, 9.617287,
598, -63.861355,
599, 98.533801,
600, -74.741554,
601, -58.908776,
602, -72.800000,
603, -81.082620,
604, -25.000000,
605, -9.298049,
606, -45.030009,
607, -4.442525,
608, 26.018426,
609, 28.414226,
610, 93.810559,
611, 32.712191,
