per Round, AccumReward,
1, -0.700000,
2, -1.200000,
3, 0.115065,
4, -0.431124,
5, -0.880000,
6, 0.620000,
7, 0.018508,
8, 0.647761,
9, -1.380000,
10, -0.600000,
11, -0.900000,
12, -0.580000,
13, -1.228000,
14, -0.522304,
15, -0.821625,
16, 0.140000,
17, -0.760000,
18, -0.280000,
19, -0.400000,
20, -1.140000,
21, 0.140000,
22, -1.020000,
23, 0.380000,
24, -1.108388,
25, 0.671578,
26, -0.040000,
27, -1.020000,
28, -0.100000,
29, -0.820000,
30, 0.020000,
31, -0.040000,
32, -1.200000,
33, -0.319460,
34, -0.535115,
35, 0.020000,
36, 0.020000,
37, 0.440000,
38, -0.540000,
39, -1.020000,
